,R2,RMSE,MAPE
Naive (division mean),0.8848676494955905,57232.36000158885,0.21864049160744037
XGBoost (+sales_lag1),0.8796325084848872,58519.0913360848,0.1976728120721933
LightGBM (+sales_lag1),0.8570976434151514,63762.10768027968,0.2095647723949237
Lasso,0.8558685534632803,64035.72659258271,0.2415609545472176
Ridge,0.8315234964670956,69232.91847423583,0.2294746003110536
XGBoost (spend-only),0.830396016127689,69464.19284050746,0.2436329758268849
LightGBM (spend-only),0.8098411439990697,73553.14498485893,0.2502779809997127
"LightweightMMM (geo, hill_adstock)",0.749890052100314,84354.53813748459,0.2846496556804416
